Code;Bezeichnung;Preis
0010;Modell;8,06
0015;Modell UKPS;8,06
0018;Modell bei Implantatversorgung;8,06
0021;Doublieren eines Modells;18,88
0022;Platzhalter einfügen;17,06
0023;Verwendung von Kunststoff;17,06
0024;Galvanisieren;17,06
0025;Doublieren eines Modells UKPS;18,88
0030;Set-up je Segment;12,17
0051;Sägemodell;18,98
0052;Einzelstumpfmodell;18,98
0053;Modell nach Überabdruck;18,98
0054;Set-up-Modell für KFO;13,99
0055;Fräsmodell;12,93
0060;Zahnkranz;6,31
0070;Zahnkranz sockeln;6,68
0111;Modellpaar trimmen;10,94
0112;Fixator;10,49
0115;Fixator UKPS;10,49
0120;Mittelwertartikulator;11,84
0125;Mittelwertartikulator UKPS;11,84
0128;Mittelwertartikulator bei Implantatversorgung;11,84
0130;Modellpaar sockeln;29,37
0201;Basis für Vorbissnahme;10,95
0202;Basis für Konstruktionsbiss;10,99
0205;Vorbereiten Bissgabel UKPS;10,95
0211;Individueller Löffel;27,29
0212;Funktionslöffel;27,29
0213;Basis für Bissregistrierung;27,29
0214;Basis für Stützstiftregistrierung;26,76
0215;Basis für Aufstellung;27,29
0216;Basis für Bissregistr. bei Implantatversorgung;26,76
0217;Individueller Löffel UKPS;26,76
0218;Basis für Aufstellung bei Implantatversorgung;26,76
0220;Bisswall;7,95
0228;Bisswall für Implantatversorgung;7,95
0230;Registrierplatte und -stift auf Basen;35,43
0240;Übertragungskappe Kunststoff/Metall;30,34
0310;Provisorische Krone/Brückenglied;39,04
0320;Formteil;21,98
1013;Wurzelstiftkappe;93,19
1021;Vollkrone/Metall;100,66
1022;Teilkrone/Metall;101,62
1023;Flügel für Adhäsivbrücke, je Flügel;99,50
1024;Krone für vestibuläre Verblendung;100,80
1026;Vollkrone/Metall bei Implantatversorgung;101,63
1028;Krone f. vestib. Verbl. bei Implantatversorgung;100,80
1031;Vorbereiten Krone;16,77
1032;Krone/Brückenglied einarbeiten;16,77
1033;Stiftaufbau einarbeiten;16,77
1040;Modellation gießen;22,11
1050;Stiftaufbau;64,32
1100;Brückenglied;72,04
1200;Teleskopierende Krone;313,65
1201;Tel. Primär-o. Sekundärkrone;211,33
1331;Individuelles Geschiebe;254,50
1341;Konfektions-Geschiebe;126,12
1343;Konfektions-Anker;126,12
1347;Konf.Anker Primär- o.Sek.-Teil;83,91
1349;Wiederbef.Sek.Teil;83,91
1360;Gefrästes Lager;60,60
1370;Schubverteilungsarm;45,44
1500;Metallverbindung nach Brand;35,23
1550;Konditionierung je Zahn/Flügel;16,62
1600;Vestibuläre Verblendung Kunststoff;55,35
1610;Zahnfleisch Kunststoff;17,61
1620;Vestibuläre Verblendung Keramik;113,70
1628;Vestibuläre Verblendung Keramik bei Implantatversorgung;113,70
1630;Zahnfleisch Keramik;40,89
1638;Zahnfleisch Keramik bei Implantatversorgung;40,89
1640;Vestibuläre Verblendung Komposite;89,12
1650;Zahnfleisch aus Komposite;23,46
2010;Metallbasis;170,20
2021;Einarmige gegossene Haltevorrichtung;14,71
2025;Kralle;14,71
2026;Ney-Stiel;14,45
2027;Auflage;14,71
2028;Umgehungsbügel bei Diastema;14,71
2031;Zweiarmige gegossene Haltevorrichtung;26,94
2041;Zweiarm. geg. Halte-u.Stützvorricht./Aufl.;36,05
2050;Bonwillklammer;63,88
2081;Rückenschutzplatte;46,24
2082;Metallzahn gegossen;46,24
2083;Metallkaufläche gegossen;46,24
2100;Lösungshilfe;13,90
2110;Unterfütterbarer Abschlußrand;22,19
2120;Zuschlag einzelne gegossene Klammer;22,19
3010;Aufstellung Grundeinheit;36,19
3018;Aufstellung Grundeinheit bei Implantatversorgung;36,19
3020;Aufstellen Wachs o. Kunststoff je Zahn;2,14
3028;Aufstellung Wachs o. Kunst. je Zahn bei Implantatversorgung;2,09
3030;Aufstellen Metall je Zahn;2,82
3410;Übertragung je Zahn;1,79
3610;Fertigstellung Grundeinheit;60,76
3618;Fertigstellung Grundeinheit bei Implantatversorgung;60,76
3620;Fertigstellen je Zahn;3,87
3628;Fertigstellen je Zahn bei Implantatversorgung;3,76
3800;Einfache gebogene Halte-/Stützvorrichtg.;11,88
3805;Gebogene Auflage;11,54
3810;Sonst gebog. Halte-u./o. Stützvorrichtg.;20,25
3821;Weichkunststoff;64,58
3822;Sonderkunststoff;64,58
3830;Zahn zahnfarben hergestellt;27,07
3840;Zahn zahnfarben hinterlegt;14,30
4010;Aufbissbehelf m. adj. Oberfläche;112,40
4020;Aufbissbehelf o. adj. Oberfläche;80,52
4030;Umarbeiten zum Aufbissbehelf;58,06
4040;Semipermanente Schiene aus Metall, je Zahn;25,51
5010;Basen UKPS;301,06
5020;Vestibuläre Protrusionsgleitflächen UKPS;24,33
5100;Befestigungselement Protrusionselement UKPS;19,28
5110;Montage Protrusionselement UKPS;19,28
5200;Befestigungselement Mundöffnungsbegrenzung UKPS;11,46
5210;Einfaches gebogenes Halteelement UKPS;11,46
7010;Basis für Einzelkiefergerät;70,22
7020;Basis bimaxilläres Gerät;117,54
7030;Schiefe Ebene;56,65
7040;Vorhofplatte;75,62
7050;Kinnkappe;62,95
7100;Aufbiss;12,59
7110;Abschirmelement;24,33
7121;Weichkunststoff (KFO);41,86
7122;Sonderkunststoff KFO;40,72
7200;Schraube einarbeiten;19,28
7210;Spezialschraube einarbeiten;30,59
7220;Trennen einer Basis;9,03
7300;Labialbogen;25,53
7310;Labialbogen modifiziert;36,24
7320;Labialbogen intermaxillär;37,77
7330;Feder, offen;10,65
7340;Feder, geschlossen;14,14
7400;Verbindungselement/intramaxillär;31,90
7410;Verbindungselemente/intermaxillär;26,98
7420;Verankerungselement;26,98
7430;Einzelelement einarbeiten;15,52
7440;Metallverbindung (KFO);15,97
7500;Einarmiges H-/A-Element;10,45
7510;Mehrarmiges H-/A-Element;23,16
8010;Grundeinheit Instands. ZE;23,40
8018;Grundeinheit Instands. ZE/implantatgest.;23,40
8021;LE Sprung;10,09
8022;LE Bruch;10,09
8023;LE Einarbeiten Zahn;10,09
8024;LE Basisteil Kunststoff;10,09
8025;LE Halte- u./o. Stützvorrichtg. einarbeiten;10,09
8026;LE Rückenschutzplatte einarbeiten;10,09
8027;LE Kunststoffsattel;10,09
8030;Retention, gebogen;43,48
8040;Retention, gegossen;53,34
8060;Gegossenes Basisteil;84,00
8070;Metallverbindung b. Instands/Erweiterg.;21,78
8080;Teilunterfütterung einer Basis;41,42
8085;Teilunterfütterung Basis UKPS;41,12
8088;Teilunterfütterung/implantatgestützt;41,42
8090;Vollständige Unterfütterung;68,22
8098;Vollst. Unterfütterung / implantatgest.;66,90
8100;Prothesenbasis erneuern;84,27
8108;Prothesenbasis erneuern/Implantatv.;84,27
8130;Auswechseln Konfektionsteil;14,22
8200;Instandsetzg. Krone/Flügel/Brückenglied;43,32
8208;Instandsetzg. Krone/implantatgestützt;43,32
8500;Grundeinheit Instandsetzung / Erweiterung UKPS;60,87
8511;Erneuerung Basis UKPS;150,53
8512;LE Sprung/Bruch UKPS;10,09
8513;LE Basisteil Kunststoff UKPS;10,09
8514;LE Halte und/oder Stutzvorrichtung einarbeiten UKPS;10,09
8610;Grundeinheit/Instand. KFO o. Aufbissbeh.;24,59
8620;LE Einfügen Regulierung.-o. Halteelement;9,97
8630;Erneuerg. eines Elementes/intermaxilär;13,48
8640;KFO-Basis erneuern;91,97
8700;Remontieren KFO-Gerät;41,12
9330;Versandkosten;6,82
9335;Versandkosten UKPS;6,82
9338;Versandkosten bei Implantatversorgung;6,82
9700;Verarbeitungsaufwand NEM-Legierung;16,20
