"KZV_NR";"ABR_ZEIT";"KGR";"KK_NR_BKV";"PW_KCH";"PW_KFO";"PW_ZE";"PW_PAR";"PW_KBR";"PW_IP"
"32";"2026Q1";"4";"102691825100";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"6";"102693631100";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"4";"102701842500";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"6";"102703637000";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"4";"102711827700";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"4";"102741551800";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"4";"102741559600";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"4";"102751558600";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"6";"102753118700";"1,2605";"1,0978";"1,1844";"1,2605";"1,2605";"1,3619"
"32";"2026Q1";"6";"102753204200";"1,2605";"1,0978";"1,1844";"1,2605";"1,2605";"1,3619"
"32";"2026Q1";"6";"102753539600";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"6";"102753617100";"1,2605";"1,0978";"1,1844";"1,2605";"1,2605";"1,3619"
"32";"2026Q1";"6";"102753626200";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"6";"102762998100";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"4";"102781574900";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"4";"102781577200";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"4";"102781578300";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"6";"102782971200";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"6";"102783507100";"1,2605";"1,0978";"1,1844";"1,2605";"1,2605";"1,3619"
"32";"2026Q1";"6";"102783533300";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"6";"102783574300";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"6";"102783624300";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"1";"102800183800";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"1";"102800192900";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"2";"102800500200";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"3";"102800888000";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"4";"102801800700";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"4";"102801812100";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"4";"102801832500";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"4";"102801834700";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"4";"102801852000";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"4";"102801856400";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"6";"102803077500";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"6";"102803142400";"1,2605";"1,0978";"1,1844";"1,2605";"1,2605";"1,3619"
"32";"2026Q1";"6";"102803545100";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"6";"102803557600";"1,2605";"1,0978";"1,1844";"1,2605";"1,2605";"1,3619"
"32";"2026Q1";"6";"102803612300";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"6";"102803614500";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"6";"102803644100";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"6";"102803657700";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"6";"102822381400";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"6";"102843324800";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"6";"102953801900";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"6";"102993831900";"1,3452";"1,0978";"1,1844";"1,3452";"1,3452";"1,4234"
"32";"2026Q1";"6";"104182908100";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"6";"104192275700";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"6";"104193072400";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"6";"104193144000";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"6";"104203141000";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"1";"104210062000";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"2";"104210500000";"1,4936";"1,2826";"1,3083";"1,4936";"1,4936";"1,5981"
"32";"2026Q1";"3";"104210873100";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"4";"104211481900";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"6";"104212237400";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"6";"104212255700";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"6";"104212266000";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"6";"104212993000";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"6";"104213124000";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"6";"104213798500";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"6";"104242964800";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"6";"104252265300";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"6";"104423991500";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"6";"104883660000";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"6";"104993900300";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"6";"106352438300";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"1";"106620137900";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"6";"106632922500";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"6";"106633159300";"1,2423";"1,0978";"1,1844";"1,2423";"1,0775";"1,4388"
"32";"2026Q1";"3";"106640880200";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"4";"106641535500";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"6";"106643157200";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"6";"106643165200";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"6";"106643203800";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
