Code;Bezeichnung;Preis
0010;Modell;8,06
0015;Modell UKPS;8,06
0018;Modell bei Implantatversorgung;8,06
0021;Doublieren eines Modells;17,13
0022;Platzhalter einfügen;17,07
0023;Verwendung von Kunststoff;15,78
0024;Galvanisieren;17,07
0025;Doublieren eines Modells UKPS;17,13
0030;Set-up je Segment;6,93
0051;Sägemodell;18,98
0052;Einzelstumpfmodell;18,98
0053;Modell nach Überabdruck;18,98
0054;Set-up-Modell für KFO;12,29
0055;Fräsmodell;12,93
0060;Zahnkranz;6,55
0070;Zahnkranz sockeln;6,92
0111;Modellpaar trimmen;7,87
0112;Fixator;10,50
0115;Fixator UKPS;10,50
0120;Mittelwertartikulator;11,85
0125;Mittelwertartikulator UKPS;11,85
0128;Mittelwertartikulator bei Implantatversorgung;11,85
0130;Modellpaar sockeln;20,38
0201;Basis für Vorbissnahme;10,95
0202;Basis für Konstruktionsbiss;9,84
0205;Vorbereiten Bissgabel UKPS;9,84
0211;Individueller Löffel;27,56
0212;Funktionslöffel;27,56
0213;Basis für Bissregistrierung;27,56
0214;Basis für Stützstiftregistrierung;27,56
0215;Basis für Aufstellung;27,56
0216;Basis für Bissregistr. bei Implantatversorgung;27,56
0217;Individueller Löffel UKPS;27,56
0218;Basis für Aufstellung bei Implantatversorgung;27,56
0220;Bisswall;7,95
0228;Bisswall für Implantatversorgung;7,95
0230;Registrierplatte und -stift auf Basen;35,44
0240;Übertragungskappe Kunststoff/Metall;30,35
0310;Provisorische Krone/Brückenglied;40,58
0320;Formteil;21,99
1013;Wurzelstiftkappe;94,55
1021;Vollkrone/Metall;101,63
1022;Teilkrone/Metall;101,63
1023;Flügel für Adhäsivbrücke, je Flügel;99,51
1024;Krone für vestibuläre Verblendung;100,79
1026;Vollkrone/Metall bei Implantatversorgung;101,63
1028;Krone f. vestib. Verbl. bei Implantatversorgung;100,80
1031;Vorbereiten Krone;16,98
1032;Krone/Brückenglied einarbeiten;16,98
1033;Stiftaufbau einarbeiten;16,98
1040;Modellation gießen;22,11
1050;Stiftaufbau;66,86
1100;Brückenglied;72,74
1200;Teleskopierende Krone;316,67
1201;Tel. Primär-o. Sekundärkrone;211,31
1331;Individuelles Geschiebe;264,58
1341;Konfektions-Geschiebe;131,10
1343;Konfektions-Anker;131,10
1347;Konf.Anker Primär- o.Sek.-Teil;87,23
1349;Wiederbef.Sek.Teil;87,23
1360;Gefrästes Lager;63,00
1370;Schubverteilungsarm;47,24
1500;Metallverbindung nach Brand;35,24
1550;Konditionierung je Zahn/Flügel;16,79
1600;Vestibuläre Verblendung Kunststoff;57,54
1610;Zahnfleisch Kunststoff;18,31
1620;Vestibuläre Verblendung Keramik;118,20
1628;Vestibuläre Verblendung Keramik bei Implantatversorgung;118,20
1630;Zahnfleisch Keramik;42,24
1638;Zahnfleisch Keramik bei Implantatversorgung;42,24
1640;Vestibuläre Verblendung Komposite;89,97
1650;Zahnfleisch aus Komposite;24,39
2010;Metallbasis;171,83
2021;Einarmige gegossene Haltevorrichtung;14,72
2025;Kralle;14,72
2026;Ney-Stiel;14,72
2027;Auflage;14,72
2028;Umgehungsbügel bei Diastema;14,72
2031;Zweiarmige gegossene Haltevorrichtung;26,94
2041;Zweiarm. geg. Halte-u.Stützvorricht./Aufl.;36,39
2050;Bonwillklammer;66,40
2081;Rückenschutzplatte;48,07
2082;Metallzahn gegossen;48,07
2083;Metallkaufläche gegossen;48,07
2100;Lösungshilfe;13,90
2110;Unterfütterbarer Abschlußrand;22,19
2120;Zuschlag einzelne gegossene Klammer;23,07
3010;Aufstellung Grundeinheit;36,20
3018;Aufstellung Grundeinheit bei Implantatversorgung;36,20
3020;Aufstellen Wachs o. Kunststoff je Zahn;2,16
3028;Aufstellung Wachs o. Kunst. je Zahn bei Implantatversorgung;2,16
3030;Aufstellen Metall je Zahn;2,85
3410;Übertragung je Zahn;1,79
3610;Fertigstellung Grundeinheit;60,76
3618;Fertigstellung Grundeinheit bei Implantatversorgung;60,76
3620;Fertigstellen je Zahn;3,91
3628;Fertigstellen je Zahn bei Implantatversorgung;3,91
3800;Einfache gebogene Halte-/Stützvorrichtg.;11,99
3805;Gebogene Auflage;11,99
3810;Sonst gebog. Halte-u./o. Stützvorrichtg.;20,25
3821;Weichkunststoff;65,63
3822;Sonderkunststoff;65,63
3830;Zahn zahnfarben hergestellt;27,52
3840;Zahn zahnfarben hinterlegt;14,44
4010;Aufbissbehelf m. adj. Oberfläche;96,32
4020;Aufbissbehelf o. adj. Oberfläche;69,78
4030;Umarbeiten zum Aufbissbehelf;56,11
4040;Semipermanente Schiene aus Metall, je Zahn;38,68
5010;Basen UKPS;309,92
5020;Vestibuläre Protrusionsgleitflächen UKPS;22,06
5100;Befestigungselement Protrusionselement UKPS;16,07
5110;Montage Protrusionselement UKPS;16,07
5200;Befestigungselement Mundöffnungsbegrenzung UKPS;12,01
5210;Einfaches gebogenes Halteelement UKPS;12,01
7010;Basis für Einzelkiefergerät;59,70
7020;Basis bimaxilläres Gerät;112,46
7030;Schiefe Ebene;48,24
7040;Vorhofplatte;46,73
7050;Kinnkappe;44,89
7100;Aufbiss;12,10
7110;Abschirmelement;22,06
7121;Weichkunststoff (KFO);30,64
7122;Sonderkunststoff KFO;30,38
7200;Schraube einarbeiten;16,07
7210;Spezialschraube einarbeiten;25,98
7220;Trennen einer Basis;7,87
7300;Labialbogen;24,33
7310;Labialbogen modifiziert;30,72
7320;Labialbogen intermaxillär;33,83
7330;Feder, offen;10,43
7340;Feder, geschlossen;14,75
7400;Verbindungselement/intramaxillär;26,20
7410;Verbindungselemente/intermaxillär;27,80
7420;Verankerungselement;26,68
7430;Einzelelement einarbeiten;14,14
7440;Metallverbindung (KFO);14,33
7500;Einarmiges H-/A-Element;10,26
7510;Mehrarmiges H-/A-Element;14,92
8010;Grundeinheit Instands. ZE;23,40
8018;Grundeinheit Instands. ZE/implantatgest.;23,40
8021;LE Sprung;10,09
8022;LE Bruch;10,09
8023;LE Einarbeiten Zahn;10,09
8024;LE Basisteil Kunststoff;10,09
8025;LE Halte- u./o. Stützvorrichtg. einarbeiten;10,09
8026;LE Rückenschutzplatte einarbeiten;10,09
8027;LE Kunststoffsattel;10,09
8030;Retention, gebogen;43,90
8040;Retention, gegossen;55,45
8060;Gegossenes Basisteil;84,00
8070;Metallverbindung b. Instands/Erweiterg.;21,99
8080;Teilunterfütterung einer Basis;43,06
8085;Teilunterfütterung Basis UKPS;43,06
8088;Teilunterfütterung/implantatgestützt;43,06
8090;Vollständige Unterfütterung;68,87
8098;Vollst. Unterfütterung / implantatgest.;68,87
8100;Prothesenbasis erneuern;84,27
8108;Prothesenbasis erneuern/Implantatv.;84,27
8130;Auswechseln Konfektionsteil;14,77
8200;Instandsetzg. Krone/Flügel/Brückenglied;43,32
8208;Instandsetzg. Krone/implantatgestützt;43,32
8500;Grundeinheit Instandsetzung / Erweiterung UKPS;60,88
8511;Erneuerung Basis UKPS;154,97
8512;LE Sprung/Bruch UKPS;10,10
8513;LE Basisteil Kunststoff UKPS;10,10
8514;LE Halte und/oder Stutzvorrichtung einarbeiten UKPS;10,10
8610;Grundeinheit/Instand. KFO o. Aufbissbeh.;22,12
8620;LE Einfügen Regulierung.-o. Halteelement;9,06
8630;Erneuerg. eines Elementes/intermaxilär;12,99
8640;KFO-Basis erneuern;77,49
8700;Remontieren KFO-Gerät;42,44
9330;Versandkosten;6,85
9335;Versandkosten UKPS;6,85
9338;Versandkosten bei Implantatversorgung;6,85
9700;Verarbeitungsaufwand NEM-Legierung;16,43
