Code;Bezeichnung;Preis
0010;Modell;8,45
0015;Modell UKPS;8,39
0018;Modell bei Implantatversorgung;8,45
0021;Doublieren eines Modells;15,96
0022;Platzhalter einfügen;17,31
0023;Verwendung von Kunststoff;17,65
0024;Galvanisieren;17,55
0025;Doublieren eines Modells UKPS;15,96
0030;Set-up je Segment;11,22
0051;Sägemodell;19,88
0052;Einzelstumpfmodell;18,94
0053;Modell nach Überabdruck;19,88
0054;Set-up-Modell für KFO;11,53
0055;Fräsmodell;13,53
0060;Zahnkranz;6,74
0070;Zahnkranz sockeln;7,12
0111;Modellpaar trimmen;12,70
0112;Fixator;11,00
0115;Fixator UKPS;10,99
0120;Mittelwertartikulator;12,42
0125;Mittelwertartikulator UKPS;12,40
0128;Mittelwertartikulator bei Implantatversorgung;12,42
0130;Modellpaar sockeln;25,27
0201;Basis für Vorbissnahme;11,25
0202;Basis für Konstruktionsbiss;9,61
0205;Vorbereiten Bissgabel UKPS;9,61
0211;Individueller Löffel;28,87
0212;Funktionslöffel;28,87
0213;Basis für Bissregistrierung;28,87
0214;Basis für Stützstiftregistrierung;28,32
0215;Basis für Aufstellung;28,87
0216;Basis für Bissregistr. bei Implantatversorgung;28,32
0217;Individueller Löffel UKPS;28,20
0218;Basis für Aufstellung bei Implantatversorgung;28,32
0220;Bisswall;8,33
0228;Bisswall für Implantatversorgung;7,95
0230;Registrierplatte und -stift auf Basen;36,42
0240;Übertragungskappe Kunststoff/Metall;31,79
0310;Provisorische Krone/Brückenglied;40,50
0320;Formteil;21,94
1013;Wurzelstiftkappe;97,19
1021;Vollkrone/Metall;104,14
1022;Teilkrone/Metall;102,55
1023;Flügel für Adhäsivbrücke, je Flügel;100,41
1024;Krone für vestibuläre Verblendung;103,69
1026;Vollkrone/Metall bei Implantatversorgung;102,55
1028;Krone f. vestib. Verbl. bei Implantatversorgung;101,72
1031;Vorbereiten Krone;17,44
1032;Krone/Brückenglied einarbeiten;17,44
1033;Stiftaufbau einarbeiten;17,44
1040;Modellation gießen;22,74
1050;Stiftaufbau;68,38
1100;Brückenglied;76,22
1200;Teleskopierende Krone;325,75
1201;Tel. Primär-o. Sekundärkrone;213,23
1331;Individuelles Geschiebe;271,94
1341;Konfektions-Geschiebe;134,76
1343;Konfektions-Anker;134,76
1347;Konf.Anker Primär- o.Sek.-Teil;89,66
1349;Wiederbef.Sek.Teil;87,46
1360;Gefrästes Lager;63,30
1370;Schubverteilungsarm;47,48
1500;Metallverbindung nach Brand;36,21
1550;Konditionierung je Zahn/Flügel;17,59
1600;Vestibuläre Verblendung Kunststoff;59,14
1610;Zahnfleisch Kunststoff;18,39
1620;Vestibuläre Verblendung Keramik;121,59
1628;Vestibuläre Verblendung Keramik bei Implantatversorgung;119,28
1630;Zahnfleisch Keramik;42,15
1638;Zahnfleisch Keramik bei Implantatversorgung;43,42
1640;Vestibuläre Verblendung Komposite;94,27
