Code;Bezeichnung;Preis
0010;Modell;8,42
0015;Modell UKPS;8,42
0018;Modell bei Implantatversorgung;8,42
0021;Doublieren eines Modells;15,62
0022;Platzhalter einfügen;17,89
0023;Verwendung von Kunststoff;17,89
0024;Galvanisieren;17,89
0025;Doublieren eines Modells UKPS;15,62
0030;Set-up je Segment;13,43
0051;Sägemodell;19,85
0052;Einzelstumpfmodell;19,85
0053;Modell nach Überabdruck;19,85
0054;Set-up-Modell für KFO;13,61
0055;Fräsmodell;13,53
0060;Zahnkranz;6,85
0070;Zahnkranz sockeln;7,24
0111;Modellpaar trimmen;11,42
0112;Fixator;10,98
0115;Fixator UKPS;10,98
0120;Mittelwertartikulator;12,38
0125;Mittelwertartikulator UKPS;12,38
0128;Mittelwertartikulator bei Implantatversorgung;12,38
0130;Modellpaar sockeln;23,61
0201;Basis für Vorbissnahme;11,47
0202;Basis für Konstruktionsbiss;10,36
0205;Vorbereiten Bissgabel UKPS;10,36
0211;Individueller Löffel;28,87
0212;Funktionslöffel;28,87
0213;Basis für Bissregistrierung;28,87
0214;Basis für Stützstiftregistrierung;28,87
0215;Basis für Aufstellung;28,87
0216;Basis für Bissregistr. bei Implantatversorgung;28,87
0217;Individueller Löffel UKPS;28,87
0218;Basis für Aufstellung bei Implantatversorgung;28,87
0220;Bisswall;8,29
0228;Bisswall für Implantatversorgung;8,29
0230;Registrierplatte und -stift auf Basen;37,04
0240;Übertragungskappe Kunststoff/Metall;31,73
0310;Provisorische Krone/Brückenglied;42,52
0320;Formteil;23,04
1013;Wurzelstiftkappe;98,89
1021;Vollkrone/Metall;104,34
1022;Teilkrone/Metall;103,57
1023;Flügel für Adhäsivbrücke, je Flügel;102,11
1024;Krone für vestibuläre Verblendung;103,48
1026;Vollkrone/Metall bei Implantatversorgung;104,35
1028;Krone f. vestib. Verbl. bei Implantatversorgung;103,48
1031;Vorbereiten Krone;17,79
1032;Krone/Brückenglied einarbeiten;17,79
1033;Stiftaufbau einarbeiten;17,79
1040;Modellation gießen;23,11
1050;Stiftaufbau;69,91
1100;Brückenglied;76,03
1200;Teleskopierende Krone;323,51
1201;Tel. Primär-o. Sekundärkrone;216,94
1331;Individuelles Geschiebe;276,68
1341;Konfektions-Geschiebe;137,16
