Code;Bezeichnung;Preis
0010;Modell;8,06
0015;Modell UKPS;8,06
0018;Modell bei Implantatversorgung;7,47
0021;Doublieren eines Modells;16,98
0022;Platzhalter einfügen;17,06
0023;Verwendung von Kunststoff;17,06
0024;Galvanisieren;17,06
0025;Doublieren eines Modells UKPS;16,98
0030;Set-up je Segment;11,11
0051;Sägemodell;18,98
0052;Einzelstumpfmodell;18,98
0053;Modell nach Überabdruck;18,98
0054;Set-up-Modell für KFO;11,60
0055;Fräsmodell;12,93
0060;Zahnkranz;6,11
0070;Zahnkranz sockeln;6,38
0111;Modellpaar trimmen;10,51
0112;Fixator;10,49
0115;Fixator UKPS;10,49
0120;Mittelwertartikulator;11,84
0125;Mittelwertartikulator UKPS;11,84
0128;Mittelwertartikulator bei Implantatversorgung;11,84
0130;Modellpaar sockeln;24,95
0201;Basis für Vorbissnahme;10,95
0202;Basis für Konstruktionsbiss;10,95
0205;Vorbereiten Bissgabel UKPS;10,95
0211;Individueller Löffel;27,56
0212;Funktionslöffel;27,56
0213;Basis für Bissregistrierung;27,56
0214;Basis für Stützstiftregistrierung;25,43
0215;Basis für Aufstellung;27,56
0216;Basis für Bissregistr. bei Implantatversorgung;25,24
0217;Individueller Löffel UKPS;27,56
0218;Basis für Aufstellung bei Implantatversorgung;25,24
0220;Bisswall;7,95
0228;Bisswall für Implantatversorgung;7,95
0230;Registrierplatte und -stift auf Basen;35,43
0240;Übertragungskappe Kunststoff/Metall;30,34
0310;Provisorische Krone/Brückenglied;40,58
0320;Formteil;20,44
1013;Wurzelstiftkappe;94,55
1021;Vollkrone/Metall;101,63
1022;Teilkrone/Metall;96,78
1023;Flügel für Adhäsivbrücke, je Flügel;94,27
1024;Krone für vestibuläre Verblendung;100,80
1026;Vollkrone/Metall bei Implantatversorgung;96,78
1028;Krone f. vestib. Verbl. bei Implantatversorgung;96,78
1031;Vorbereiten Krone;16,98
1032;Krone/Brückenglied einarbeiten;16,98
1033;Stiftaufbau einarbeiten;16,98
1040;Modellation gießen;20,34
1050;Stiftaufbau;66,86
1100;Brückenglied;72,73
1200;Teleskopierende Krone;316,65
1201;Tel. Primär-o. Sekundärkrone;211,31
1331;Individuelles Geschiebe;264,58
1341;Konfektions-Geschiebe;131,10
1343;Konfektions-Anker;131,10
1347;Konf.Anker Primär- o.Sek.-Teil;87,22
1349;Wiederbef.Sek.Teil;87,22
1360;Gefrästes Lager;63,00
1370;Schubverteilungsarm;47,24
1500;Metallverbindung nach Brand;32,50
1550;Konditionierung je Zahn/Flügel;16,79
1600;Vestibuläre Verblendung Kunststoff;52,67
1610;Zahnfleisch Kunststoff;18,30
1620;Vestibuläre Verblendung Keramik;118,20
1628;Vestibuläre Verblendung Keramik bei Implantatversorgung;117,25
1630;Zahnfleisch Keramik;42,24
1638;Zahnfleisch Keramik bei Implantatversorgung;42,24
1640;Vestibuläre Verblendung Komposite;89,97
1650;Zahnfleisch aus Komposite;24,39
2010;Metallbasis;171,83
2021;Einarmige gegossene Haltevorrichtung;14,72
2025;Kralle;14,72
2026;Ney-Stiel;14,72
2027;Auflage;14,72
2028;Umgehungsbügel bei Diastema;14,72
2031;Zweiarmige gegossene Haltevorrichtung;26,94
2041;Zweiarm. geg. Halte-u.Stützvorricht./Aufl.;36,39
2050;Bonwillklammer;64,89
2081;Rückenschutzplatte;48,07
2082;Metallzahn gegossen;47,31
2083;Metallkaufläche gegossen;47,31
2100;Lösungshilfe;13,90
2110;Unterfütterbarer Abschlußrand;22,19
2120;Zuschlag einzelne gegossene Klammer;23,06
3010;Aufstellung Grundeinheit;36,19
3018;Aufstellung Grundeinheit bei Implantatversorgung;36,19
3020;Aufstellen Wachs o. Kunststoff je Zahn;2,15
3028;Aufstellung Wachs o. Kunst. je Zahn bei Implantatversorgung;2,15
3030;Aufstellen Metall je Zahn;2,84
3410;Übertragung je Zahn;1,79
3610;Fertigstellung Grundeinheit;60,76
3618;Fertigstellung Grundeinheit bei Implantatversorgung;56,00
3620;Fertigstellen je Zahn;3,90
3628;Fertigstellen je Zahn bei Implantatversorgung;3,62
3800;Einfache gebogene Halte-/Stützvorrichtg.;11,99
3805;Gebogene Auflage;11,04
3810;Sonst gebog. Halte-u./o. Stützvorrichtg.;20,25
3821;Weichkunststoff;65,63
3822;Sonderkunststoff;65,63
3830;Zahn zahnfarben hergestellt;25,36
3840;Zahn zahnfarben hinterlegt;14,44
4010;Aufbissbehelf m. adj. Oberfläche;102,68
4020;Aufbissbehelf o. adj. Oberfläche;83,02
4030;Umarbeiten zum Aufbissbehelf;55,15
4040;Semipermanente Schiene aus Metall, je Zahn;39,32
5010;Basen UKPS;309,97
5020;Vestibuläre Protrusionsgleitflächen UKPS;22,43
5100;Befestigungselement Protrusionselement UKPS;17,59
5110;Montage Protrusionselement UKPS;17,59
5200;Befestigungselement Mundöffnungsbegrenzung UKPS;11,99
5210;Einfaches gebogenes Halteelement UKPS;11,99
7010;Basis für Einzelkiefergerät;64,65
7020;Basis bimaxilläres Gerät;104,14
7030;Schiefe Ebene;48,49
7040;Vorhofplatte;69,38
7050;Kinnkappe;60,07
7100;Aufbiss;10,47
7110;Abschirmelement;22,43
7121;Weichkunststoff (KFO);33,22
7122;Sonderkunststoff KFO;33,22
7200;Schraube einarbeiten;17,59
7210;Spezialschraube einarbeiten;25,62
7220;Trennen einer Basis;7,99
7300;Labialbogen;24,05
7310;Labialbogen modifiziert;32,04
7320;Labialbogen intermaxillär;36,03
7330;Feder, offen;10,45
7340;Feder, geschlossen;12,15
7400;Verbindungselement/intramaxillär;29,62
7410;Verbindungselemente/intermaxillär;30,40
7420;Verankerungselement;28,03
7430;Einzelelement einarbeiten;14,87
7440;Metallverbindung (KFO);13,77
7500;Einarmiges H-/A-Element;10,57
7510;Mehrarmiges H-/A-Element;15,63
8010;Grundeinheit Instands. ZE;23,40
8018;Grundeinheit Instands. ZE/implantatgest.;22,44
8021;LE Sprung;10,09
8022;LE Bruch;10,09
8023;LE Einarbeiten Zahn;10,09
8024;LE Basisteil Kunststoff;10,09
8025;LE Halte- u./o. Stützvorrichtg. einarbeiten;10,09
8026;LE Rückenschutzplatte einarbeiten;10,09
8027;LE Kunststoffsattel;10,09
8030;Retention, gebogen;43,89
8040;Retention, gegossen;55,44
8060;Gegossenes Basisteil;84,00
8070;Metallverbindung b. Instands/Erweiterg.;21,99
8080;Teilunterfütterung einer Basis;43,06
8085;Teilunterfütterung Basis UKPS;43,06
8088;Teilunterfütterung/implantatgestützt;43,06
8090;Vollständige Unterfütterung;68,87
8098;Vollst. Unterfütterung / implantatgest.;63,49
8100;Prothesenbasis erneuern;84,27
8108;Prothesenbasis erneuern/Implantatv.;78,12
8130;Auswechseln Konfektionsteil;14,77
8200;Instandsetzg. Krone/Flügel/Brückenglied;43,32
8208;Instandsetzg. Krone/implantatgestützt;43,32
8500;Grundeinheit Instandsetzung / Erweiterung UKPS;60,88
8511;Erneuerung Basis UKPS;154,99
8512;LE Sprung/Bruch UKPS;10,10
8513;LE Basisteil Kunststoff UKPS;10,10
8514;LE Halte und/oder Stutzvorrichtung einarbeiten UKPS;10,10
8610;Grundeinheit/Instand. KFO o. Aufbissbeh.;22,04
8620;LE Einfügen Regulierung.-o. Halteelement;10,01
8630;Erneuerg. eines Elementes/intermaxilär;15,23
8640;KFO-Basis erneuern;64,65
8700;Remontieren KFO-Gerät;39,25
9330;Versandkosten;6,85
9335;Versandkosten UKPS;6,85
9338;Versandkosten bei Implantatversorgung;6,67
9700;Verarbeitungsaufwand NEM-Legierung;16,43
