Code;Bezeichnung;Preis
0010;Modell;8,45
0015;Modell UKPS;8,30
0018;Modell bei Implantatversorgung;7,82
0021;Doublieren eines Modells;15,44
0022;Platzhalter einfügen;17,54
0023;Verwendung von Kunststoff;17,89
0024;Galvanisieren;17,54
0025;Doublieren eines Modells UKPS;15,59
0030;Set-up je Segment;10,30
0051;Sägemodell;19,89
0052;Einzelstumpfmodell;19,55
0053;Modell nach Überabdruck;19,55
0054;Set-up-Modell für KFO;11,13
0055;Fräsmodell;13,55
0060;Zahnkranz;6,75
0070;Zahnkranz sockeln;7,11
0111;Modellpaar trimmen;12,14
0112;Fixator;11,00
0115;Fixator UKPS;10,76
0120;Mittelwertartikulator;12,42
0125;Mittelwertartikulator UKPS;12,21
0128;Mittelwertartikulator bei Implantatversorgung;11,46
0130;Modellpaar sockeln;27,15
0201;Basis für Vorbissnahme;11,26
0202;Basis für Konstruktionsbiss;9,29
0205;Vorbereiten Bissgabel UKPS;9,38
0211;Individueller Löffel;28,88
0212;Funktionslöffel;28,88
0213;Basis für Bissregistrierung;28,88
0214;Basis für Stützstiftregistrierung;28,33
0215;Basis für Aufstellung;28,88
0216;Basis für Bissregistr. bei Implantatversorgung;26,71
0217;Individueller Löffel UKPS;28,22
0218;Basis für Aufstellung bei Implantatversorgung;26,71
0220;Bisswall;8,33
0228;Bisswall für Implantatversorgung;7,72
0230;Registrierplatte und -stift auf Basen;36,43
0240;Übertragungskappe Kunststoff/Metall;31,79
0310;Provisorische Krone/Brückenglied;41,70
0320;Formteil;22,59
1013;Wurzelstiftkappe;97,17
1021;Vollkrone/Metall;104,55
1022;Teilkrone/Metall;104,55
1023;Flügel für Adhäsivbrücke, je Flügel;102,36
1024;Krone für vestibuläre Verblendung;103,69
1026;Vollkrone/Metall bei Implantatversorgung;94,59
1028;Krone f. vestib. Verbl. bei Implantatversorgung;93,81
1031;Vorbereiten Krone;17,79
1032;Krone/Brückenglied einarbeiten;17,79
1033;Stiftaufbau einarbeiten;17,79
1040;Modellation gießen;23,17
1050;Stiftaufbau;70,06
1100;Brückenglied;76,22
1200;Teleskopierende Krone;325,75
1201;Tel. Primär-o. Sekundärkrone;217,37
1331;Individuelles Geschiebe;271,87
1341;Konfektions-Geschiebe;134,74
1343;Konfektions-Anker;134,74
1347;Konf.Anker Primär- o.Sek.-Teil;89,63
1349;Wiederbef.Sek.Teil;91,40
1360;Gefrästes Lager;66,01
1370;Schubverteilungsarm;49,50
1500;Metallverbindung nach Brand;36,19
1550;Konditionierung je Zahn/Flügel;17,59
1600;Vestibuläre Verblendung Kunststoff;59,13
1610;Zahnfleisch Kunststoff;18,83
1620;Vestibuläre Verblendung Keramik;121,59
1628;Vestibuläre Verblendung Keramik bei Implantatversorgung;110,01
1630;Zahnfleisch Keramik;44,26
1638;Zahnfleisch Keramik bei Implantatversorgung;40,93
1640;Vestibuläre Verblendung Komposite;94,28
1650;Zahnfleisch aus Komposite;25,56
2010;Metallbasis;180,04
2021;Einarmige gegossene Haltevorrichtung;15,42
2025;Kralle;15,42
2026;Ney-Stiel;15,42
2027;Auflage;15,42
2028;Umgehungsbügel bei Diastema;15,42
2031;Zweiarmige gegossene Haltevorrichtung;28,23
2041;Zweiarm. geg. Halte-u.Stützvorricht./Aufl.;38,13
2050;Bonwillklammer;69,57
2081;Rückenschutzplatte;50,37
2082;Metallzahn gegossen;49,40
2083;Metallkaufläche gegossen;50,37
2100;Lösungshilfe;14,56
2110;Unterfütterbarer Abschlußrand;23,25
2120;Zuschlag einzelne gegossene Klammer;24,17
3010;Aufstellung Grundeinheit;43,45
