Code;Bezeichnung;Preis
0010;Modell;8,45
0015;Modell UKPS;8,30
0018;Modell bei Implantatversorgung;8,21
0021;Doublieren eines Modells;17,16
0022;Platzhalter einfügen;17,38
0023;Verwendung von Kunststoff;17,51
0024;Galvanisieren;17,38
0025;Doublieren eines Modells UKPS;17,16
0030;Set-up je Segment;11,25
0051;Sägemodell;19,89
0052;Einzelstumpfmodell;19,46
0053;Modell nach Überabdruck;19,46
0054;Set-up-Modell für KFO;12,99
0055;Fräsmodell;13,25
0060;Zahnkranz;6,72
0070;Zahnkranz sockeln;7,10
0111;Modellpaar trimmen;12,34
0112;Fixator;11,00
0115;Fixator UKPS;10,76
0120;Mittelwertartikulator;12,42
0125;Mittelwertartikulator UKPS;12,21
0128;Mittelwertartikulator bei Implantatversorgung;12,07
0130;Modellpaar sockeln;27,52
0201;Basis für Vorbissnahme;11,23
0202;Basis für Konstruktionsbiss;9,40
0205;Vorbereiten Bissgabel UKPS;9,40
0211;Individueller Löffel;28,88
0212;Funktionslöffel;28,88
0213;Basis für Bissregistrierung;28,88
0214;Basis für Stützstiftregistrierung;28,26
0215;Basis für Aufstellung;28,88
0216;Basis für Bissregistr. bei Implantatversorgung;28,05
0217;Individueller Löffel UKPS;28,22
0218;Basis für Aufstellung bei Implantatversorgung;28,05
0220;Bisswall;8,33
0228;Bisswall für Implantatversorgung;8,09
0230;Registrierplatte und -stift auf Basen;36,33
0240;Übertragungskappe Kunststoff/Metall;31,11
0310;Provisorische Krone/Brückenglied;41,61
0320;Formteil;22,54
1013;Wurzelstiftkappe;96,94
1021;Vollkrone/Metall;104,55
1022;Teilkrone/Metall;102,31
1023;Flügel für Adhäsivbrücke, je Flügel;100,17
1024;Krone für vestibuläre Verblendung;103,69
1026;Vollkrone/Metall bei Implantatversorgung;101,56
1028;Krone f. vestib. Verbl. bei Implantatversorgung;100,73
1031;Vorbereiten Krone;17,41
1032;Krone/Brückenglied einarbeiten;17,41
1033;Stiftaufbau einarbeiten;17,41
1040;Modellation gießen;22,68
1050;Stiftaufbau;68,55
1100;Brückenglied;76,22
1200;Teleskopierende Krone;325,75
1201;Tel. Primär-o. Sekundärkrone;211,16
1331;Individuelles Geschiebe;269,30
1341;Konfektions-Geschiebe;134,43
1343;Konfektions-Anker;134,43
1347;Konf.Anker Primär- o.Sek.-Teil;89,44
1349;Wiederbef.Sek.Teil;89,44
1360;Gefrästes Lager;66,01
1370;Schubverteilungsarm;48,44
1500;Metallverbindung nach Brand;35,86
1550;Konditionierung je Zahn/Flügel;17,59
1600;Vestibuläre Verblendung Kunststoff;59,00
1610;Zahnfleisch Kunststoff;19,18
1620;Vestibuläre Verblendung Keramik;121,59
1628;Vestibuläre Verblendung Keramik bei Implantatversorgung;118,12
1630;Zahnfleisch Keramik;43,31
1638;Zahnfleisch Keramik bei Implantatversorgung;42,99
1640;Vestibuläre Verblendung Komposite;94,28
1650;Zahnfleisch aus Komposite;25,01
2010;Metallbasis;180,04
2021;Einarmige gegossene Haltevorrichtung;15,09
2025;Kralle;15,09
2026;Ney-Stiel;15,09
2027;Auflage;15,09
2028;Umgehungsbügel bei Diastema;14,98
2031;Zweiarmige gegossene Haltevorrichtung;27,63
2041;Zweiarm. geg. Halte-u.Stützvorricht./Aufl.;37,32
2050;Bonwillklammer;68,08
2081;Rückenschutzplatte;49,29
2082;Metallzahn gegossen;49,29
2083;Metallkaufläche gegossen;48,93
2100;Lösungshilfe;14,15
2110;Unterfütterbarer Abschlußrand;22,58
2120;Zuschlag einzelne gegossene Klammer;23,65
3010;Aufstellung Grundeinheit;43,45
